City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,yuzhno-kurilsk,44.0306,145.8556,12.85,94,100,0.54,RU,1689535254
264,aginskoye,51.1,114.53,17.13,66,5,1.22,RU,1689535254
265,diego de almagro,-26.3667,-70.05,24.38,13,100,3.47,CL,1689535254
266,lieksa,63.3167,30.0167,17.61,63,79,4.42,FI,1689535255
267,cabo san lucas,22.8909,-109.9124,34.23,70,20,3.6,MX,1689534974
268,loen,7.7601,168.2307,28.05,72,87,6.64,MH,1689535255
269,remire-montjoly,4.9167,-52.2667,27.02,78,75,2.57,GF,1689535140
270,campos altos,-19.6961,-46.1714,20.75,61,100,0.97,BR,1689535257
271,coronel oviedo,-25.4167,-56.45,22.42,45,2,1.82,PY,1689535257
272,barcelos,41.5388,-8.6151,21.62,64,33,5.21,PT,1689535258
273,naxos,37.1056,25.3764,28.5,66,0,6.26,GR,1689535258
274,flying fish cove,-10.4217,105.6791,23.82,88,100,4.12,CX,1689535259
275,gotsucho,35.0,132.2167,24.06,84,0,2.22,JP,1689535260
276,mu'minobod,38.1085,70.0285,25.35,23,0,2.61,TJ,1689535260
277,ulsteinvik,62.3432,5.8487,18.51,68,50,4.47,NO,1689535261
278,keningau,5.3378,116.1602,22.17,93,95,0.15,MY,1689535261
279,salinopolis,-0.6136,-47.3561,27.92,75,63,5.37,BR,1689534891
280,kavaratti,10.5669,72.642,28.14,79,100,7.68,IN,1689535158
281,antsiranana,-12.2787,49.2917,22.88,80,22,4.8,MG,1689535263
282,kingscliff,-28.2667,153.5667,15.89,82,8,4.12,AU,1689535263
283,gamba,-2.65,10.0,21.22,91,49,2.68,GA,1689535264
284,nova sintra,14.8667,-24.7167,23.1,84,100,3.33,CV,1689535264
285,morehead city,34.7229,-76.726,33.01,84,20,9.77,US,1689535265
286,caleta de carquin,-11.0925,-77.6267,22.42,70,17,5.31,PE,1689535266
287,ola,59.5833,151.2833,11.65,89,100,0.88,RU,1689535065
288,puerto armuelles,8.2833,-82.8667,30.99,84,100,1.34,PA,1689535014
289,bhaisa,19.1,77.9667,23.21,93,100,6.53,IN,1689535268
290,gornozavodsk,58.3758,58.3211,15.3,73,100,1.9,RU,1689535268
291,guerrero negro,27.9769,-114.0611,26.0,57,98,4.15,MX,1689535269
292,geraldton,-28.7667,114.6,4.23,87,0,3.6,AU,1689535269
293,port-vila,-17.7338,168.3219,21.78,83,75,5.14,VU,1689535270
294,iskateley,67.6803,53.1512,16.0,84,36,4.06,RU,1689535271
295,el reno,35.5323,-97.955,34.03,51,0,1.54,US,1689535271
296,buy,58.4786,41.53,16.13,84,24,2.08,RU,1689535271
297,wynyard,-41.0,145.7167,9.99,86,34,4.39,AU,1689535272
298,margate,51.3813,1.3862,17.95,65,100,4.02,GB,1689535272
299,ipatovo,45.7181,42.9036,18.94,60,63,3.63,RU,1689535273
300,vila franca do campo,37.7167,-25.4333,21.23,66,99,1.82,PT,1689535274
301,pinheiro machado,-31.5783,-53.3811,10.27,69,34,3.96,BR,1689535274
302,amos,48.5669,-78.1162,26.53,46,30,1.21,CA,1689535275
303,buta,2.7858,24.73,24.4,71,19,1.17,CD,1689535275
304,rexburg,43.826,-111.7897,30.79,28,0,2.06,US,1689535035
305,malmberget,67.1753,20.6549,12.31,94,75,6.17,SE,1689535276
306,larkird,35.4894,66.6641,19.9,30,0,0.62,AF,1689535277
307,lashio,22.9333,97.75,20.4,99,75,0.68,MM,1689535277
308,diawara,15.022,-12.5437,30.82,65,100,2.26,SN,1689535278
309,novodvinsk,64.4165,40.8122,16.25,75,78,0.75,RU,1689535278
310,greymouth,-42.4667,171.2,7.94,90,100,1.72,NZ,1689535279
311,livadeia,38.435,22.8739,29.89,48,0,1.61,GR,1689535279
312,karasburg,-28.0167,18.75,16.09,28,0,4.57,NA,1689535280
313,lata,40.1629,-8.3327,19.49,57,45,3.36,PT,1689535280
314,nizhnesortymskiy,62.4397,71.7603,14.35,63,20,3.1,RU,1689534908
315,as sulayyil,20.4607,45.5779,37.14,9,94,4.16,SA,1689535282
316,xinyu,27.8043,114.9334,23.86,74,17,1.62,CN,1689535282
317,pitimbu,-7.4706,-34.8086,24.33,79,21,5.95,BR,1689535076
318,ebon,4.582,168.6964,28.0,77,100,5.04,MH,1689535283
319,inhambupe,-11.7844,-38.3531,26.29,61,87,4.55,BR,1689535284
320,leava,-14.3,-178.1667,26.47,79,93,12.91,WF,1689535284
321,palikir - national government center,6.9248,158.1611,26.86,82,100,8.14,FM,1689535285
322,polyarnyy,69.1989,33.4478,13.72,83,92,1.34,RU,1689535286
323,santa rosa,14.3122,121.1114,25.53,98,100,1.74,PH,1689535287
324,coquimbo,-29.9533,-71.3436,14.85,82,0,7.2,CL,1689535287
325,brookings,44.3114,-96.7984,23.99,61,0,6.17,US,1689535149
326,pueblo nuevo,23.3833,-105.3833,25.78,47,12,3.29,MX,1689535289
327,laguna,38.421,-121.4238,40.65,30,0,2.06,US,1689535262
328,bonnyville,54.2668,-110.735,20.89,45,99,2.54,CA,1689535291
329,kirensk,57.7853,108.1119,14.16,94,100,1.2,RU,1689535292
330,dauphin,51.1494,-100.0502,16.08,72,100,6.17,CA,1689535292
331,beidaihehaibin,39.8222,119.5181,22.21,74,0,1.88,CN,1689535293
332,acarau,-2.8856,-40.12,28.91,65,61,7.3,BR,1689535293
333,rabo de peixe,37.8,-25.5833,20.73,68,75,4.12,PT,1689535294
334,bay roberts,47.5999,-53.2648,26.4,79,42,0.45,CA,1689535295
335,kerema,-7.9631,145.7785,24.33,88,98,0.74,PG,1689535295
336,kavieng,-2.5744,150.7967,27.76,76,97,2.53,PG,1689535296
337,barah,13.7,30.3667,34.7,30,86,2.11,SD,1689535296
338,pico truncado,-46.7949,-67.9573,2.55,43,0,6.15,AR,1689535297
339,saint-philippe,-21.3585,55.7679,22.77,86,45,6.18,RE,1689535297
340,lipayran,11.0593,123.6342,28.32,71,49,4.28,PH,1689535298
341,pontes e lacerda,-15.2261,-59.3353,34.37,25,0,1.61,BR,1689535035
342,kingston,17.997,-76.7936,32.53,74,20,11.32,JM,1689535275
343,berezovyy,51.6667,135.7,16.55,81,100,1.17,RU,1689535300
344,namibe,-15.1961,12.1522,19.38,83,0,2.0,AO,1689535300
345,kinkala,-4.3614,14.7644,27.53,40,7,0.77,CG,1689535301
346,lerwick,60.1545,-1.1494,13.0,89,65,5.13,GB,1689535042
347,toledo,39.8333,-4.0,32.28,16,2,4.98,ES,1689535252
348,naze,28.3667,129.4833,27.51,85,100,6.95,JP,1689535302
349,nova olimpia,-14.7972,-57.2881,36.21,20,5,0.82,BR,1689535169
350,inari,68.906,27.0288,21.11,57,100,2.14,FI,1689535303
351,zalari,53.5584,102.5065,16.9,98,100,5.6,RU,1689535303
352,naples,40.8333,14.25,32.43,54,0,2.06,IT,1689535082
353,sovetskaya gavan',48.9723,140.2878,13.48,96,100,1.43,RU,1689535304
354,nyurba,63.2842,118.3319,6.16,84,55,1.76,RU,1689535304
355,mayya,61.7333,130.2811,4.62,81,90,0.42,RU,1689535305
356,saipan,15.1355,145.701,28.39,100,20,5.14,MP,1689534800
357,kangding,30.0513,101.9603,11.88,90,37,0.61,CN,1689535305
358,nuuk,64.1835,-51.7216,9.34,100,100,3.09,GL,1689535306
359,at taj,24.2049,23.2857,31.91,15,78,3.94,LY,1689535307
360,afaahiti,-17.75,-149.2833,25.93,64,5,1.97,PF,1689535308
361,kapuskasing,49.4169,-82.4331,24.05,43,75,3.09,CA,1689535308
362,olyokminsk,60.3736,120.4264,8.58,72,84,1.6,RU,1689535309
363,faya-largeau,17.9257,19.1043,37.11,11,72,3.93,TD,1689535309
